City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Cabo San Lucas,57,MX,1632001931,71,22.8909,-109.9124,92.8,10.51
Vaini,75,TO,1632002209,94,-21.2,-175.2,75.36,6.91
Nemuro,83,JP,1632002210,94,43.3236,145.575,59.23,16.44
Mataura,100,NZ,1632002210,92,-46.1927,168.8643,44.47,4.79
Bluff,100,NZ,1632002210,78,-46.6,168.3333,44.8,12.08
Punta Arenas,20,CL,1632002211,57,-53.15,-70.9167,50.11,11.5
Ushuaia,20,AR,1632002211,57,-54.8,-68.3,44.26,0.0
Butaritari,14,KI,1632002212,69,3.0707,172.7902,83.01,17.16
Nanortalik,100,GL,1632002212,94,60.1432,-45.2371,40.91,10.04
Puerto Ayora,82,EC,1632002213,90,-0.7393,-90.3518,80.56,7.0
East London,0,ZA,1632002213,69,-33.0153,27.9116,61.0,22.5
Gorontalo,98,ID,1632002214,91,0.5412,123.0595,75.34,3.87
Busselton,70,AU,1632002214,90,-33.65,115.3333,53.04,5.77
Calabozo,83,VE,1632002215,66,8.9242,-67.4293,83.34,2.86
Gemena,82,CD,1632002215,97,3.25,19.7667,69.84,1.3
Lebu,11,CL,1632002215,69,-37.6167,-73.65,51.93,10.85
Nikolskoye,100,RU,1632002216,81,59.7035,30.7861,45.01,6.91
Albany,51,US,1632002216,73,42.6001,-73.9662,77.14,10.04
Port Hardy,90,CA,1632002217,93,50.6996,-127.4199,51.98,5.75
Avera,100,US,1632002217,62,33.194,-82.5271,84.74,0.43
Paso de los Toros,0,UY,1632002217,82,-32.8167,-56.5167,61.14,5.46
Hermanus,29,ZA,1632002218,73,-34.4187,19.2345,56.89,3.31
Pīlibhīt,6,IN,1632002218,94,28.6333,79.8,76.1,5.19
Rikitea,39,PF,1632002219,74,-23.1203,-134.9692,73.04,10.4
Ylöjärvi,90,FI,1632002219,78,61.5563,23.5961,45.5,3.44
New Norfolk,100,AU,1632002220,74,-42.7826,147.0587,53.92,1.99
Kiryat Gat,0,IL,1632001921,68,31.61,34.7642,76.82,5.44
Pevek,100,RU,1632002220,69,69.7008,170.3133,30.56,15.12
Tasiilaq,66,GL,1632002221,68,65.6145,-37.6368,28.18,4.32
Gamba,100,GA,1632002221,82,-2.65,10.0,75.6,6.04
Saint-Philippe,82,RE,1632002221,84,-21.3585,55.7679,67.59,16.22
Belen,0,TR,1632002222,69,36.4891,36.2233,69.03,4.59
Atuona,5,PF,1632002222,78,-9.8,-139.0333,77.81,18.28
Naples,0,IT,1632002223,80,40.8333,14.25,75.81,2.3
Tuktoyaktuk,90,CA,1632002223,100,69.4541,-133.0374,41.0,3.44
Thunder Bay,75,CA,1632002224,56,48.4001,-89.3168,67.98,13.8
Chui,6,UY,1632002224,97,-33.6971,-53.4616,58.68,6.85
Jamestown,43,US,1632002225,74,42.097,-79.2353,76.08,7.05
Kruisfontein,65,ZA,1632002225,75,-34.0033,24.7314,57.88,13.67
Lüderitz,31,NA,1632002226,88,-26.6481,15.1594,54.36,5.86
Laguna,20,US,1632002226,54,38.421,-121.4238,84.31,5.99
Yellowknife,75,CA,1632002227,43,62.456,-114.3525,52.32,18.41
Korāput,100,IN,1632002227,93,18.8167,82.7167,68.77,2.08
Hasaki,100,JP,1632002227,80,35.7333,140.8333,72.0,28.12
Qui Nhon,100,VN,1632002228,88,13.7667,109.2333,76.8,5.79
Tuatapere,100,NZ,1632002228,85,-46.1333,167.6833,44.82,8.01
Taltal,100,CL,1632002229,72,-25.4,-70.4833,60.71,6.6
Warri,95,NG,1632002229,92,5.5167,5.75,76.05,3.42
Laas,31,IT,1632002230,92,46.6166,10.7002,60.62,1.05
Kyshtovka,100,RU,1632002230,88,56.555,76.6271,39.61,6.87
Mombasa,20,KE,1632002230,83,-4.0547,39.6636,77.41,5.75
Eureka,44,US,1632001947,86,40.8021,-124.1637,71.67,5.01
Andra,100,RU,1632002231,96,62.5147,65.8878,32.81,18.63
Esteio,75,BR,1632002232,81,-29.8614,-51.1792,72.27,3.0
Bredasdorp,67,ZA,1632002232,87,-34.5322,20.0403,54.28,3.44
Kudahuvadhoo,79,MV,1632002233,77,2.6708,72.8944,81.9,7.99
Marsá Maţrūḩ,0,EG,1632002233,83,31.3525,27.2453,77.2,6.91
Barrow,100,US,1632002234,84,71.2906,-156.7887,33.13,6.53
